x1873,ALMs,IP,OP,Valid,Timestamp,B,Cycles
true,487012.0,19,1,false,1770,7296,2628449.0
true,506646.0,10,2,false,1770,10272,1899607.0
true,510720.0,10,2,false,1770,10080,1890161.0
true,377723.0,14,1,false,1770,10272,3192344.0
false,3678594.0,89,2,false,1770,19008,1157858.0
true,893993.0,19,2,false,1770,9600,1405171.0
true,510720.0,10,2,false,1770,8928,1856766.0
true,155748.0,2,2,false,1770,17664,5990173.0
true,377723.0,14,1,false,1770,10656,3224307.0
true,198929.0,6,1,true,1770,7392,4880082.0
true,1260724.0,28,2,false,1770,14880,1273997.0
true,198929.0,6,1,true,1770,7968,4920425.0
true,483518.0,19,1,false,1770,10464,2597704.0
true,506646.0,10,2,false,1770,12576,2044260.0
false,3360796.0,81,2,false,1770,19104,1197111.0
true,1186800.0,26,2,false,1770,13152,1287129.0
true,268132.0,9,1,false,1770,8928,3982254.0
true,1269885.0,28,2,false,1770,14016,1265118.0
true,465750.0,18,1,false,1770,6144,2872172.0
true,935780.0,20,2,false,1770,8448,1404809.0
true,377723.0,14,1,false,1770,10464,3209748.0
true,719811.0,15,2,false,1770,9600,1519276.0
true,1177950.0,26,2,false,1770,13440,1290852.0
true,334748.0,12,1,false,1770,6336,3468921.0
true,935780.0,20,2,false,1770,7776,1434922.0
true,420404.0,16,1,false,1770,10560,2934605.0
true,1269885.0,28,2,false,1770,14112,1267549.0
true,222059.0,7,1,true,1770,10464,4767067.0
true,1177950.0,26,2,false,1770,13536,1294180.0
true,487012.0,19,1,false,1770,6144,2798938.0
true,1284753.0,57,1,false,729,12288,1405253.0
false,2883295.0,69,2,false,729,9984,1450811.0
true,1305520.0,58,1,false,729,7680,1638064.0
false,3678594.0,89,2,false,729,864,7864321.0
true,401344.0,15,1,false,729,672,10901497.0
true,1430203.0,64,1,false,729,5184,2156315.0
true,2712170.0,63,2,false,729,576,6447127.0
false,1738429.0,81,1,false,729,18048,1394761.0
true,2137884.0,49,2,false,729,11904,1254496.0
true,1409474.0,63,1,false,729,1920,6285608.0
false,2244920.0,53,2,false,729,15072,1415489.0
true,2834977.0,66,2,false,729,96,18211882.0
true,1554647.0,70,1,false,729,11040,1325932.0
false,867314.0,38,1,false,729,16704,2235940.0
true,2009335.0,92,1,false,729,5664,1733204.0
true,635506.0,26,1,false,729,7968,2181895.0
true,2466410.0,57,2,false,729,18240,1268887.0
false,2124810.0,50,2,false,729,7392,1735501.0
false,497308.0,20,1,false,729,3072,6674653.0
false,832771.0,18,2,false,729,4800,2928299.0
true,1450925.0,65,1,false,729,14880,1261706.0
true,1019779.0,22,2,false,729,1728,4556885.0
false,1637791.0,76,1,false,729,10176,1777013.0
true,1013398.0,44,1,false,729,9120,1677708.0
true,1560269.0,35,2,false,729,2016,4206120.0
true,158063.0,2,2,false,729,2784,6267526.0
false,1172747.0,53,1,false,729,11520,2008153.0
false,414220.0,16,1,false,729,4992,5230771.0
true,810312.0,17,2,false,729,3072,3158239.0
true,2834977.0,66,2,false,729,1728,4675496.0
true,1926845.0,88,1,false,729,1248,7941376.0
true,198827.0,6,1,true,729,12096,5758643.0
true,1430203.0,64,1,false,729,19200,1261311.0
true,1159775.0,51,1,false,729,17568,1356807.0
false,1537008.0,71,1,false,729,5184,2822690.0
true,222213.0,7,1,true,729,3840,5536777.0
true,3773777.0,89,2,false,729,11520,1297884.0
false,1959384.0,92,1,false,729,10464,1600325.0
true,1103111.0,24,2,false,729,9792,1310651.0
true,204322.0,3,2,false,729,10272,6022458.0
false,887686.0,39,1,false,729,17952,2171298.0
true,1242967.0,55,1,false,729,7968,11561598.0
true,1352868.0,30,2,false,729,13920,1237527.0
false,3678594.0,89,2,false,729,11808,1302281.0
true,3488404.0,82,2,false,729,17280,1297082.0
true,740878.0,31,1,false,729,9600,1924599.0
true,3488404.0,82,2,false,729,3936,2480239.0
false,3440250.0,83,2,false,730,2304,4773601.0
