link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29],dst[30]
11432,11020,11401,2,176128,11400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11433,11020,11401,2,176128,11400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11434,11020,11401,2,176128,11400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11439,11021,11402,2,176128,11400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11440,11021,11402,2,176128,11401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11442,11022,11403,2,176128,11398,11399,11401,11402,,,,,,,,,,,,,,,,,,,,,,,,,,,
11443,11022,11403,2,176128,11401,11402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6428,11023,11404,2,176128,1237,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6427,11023,11404,2,176128,1237,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6434,11445,11560,2,1376,1260,1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6436,11446,11561,2,1376,1260,1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6435,11446,11561,2,1376,1260,1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11582,11446,11561,2,1376,11560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11583,11446,11561,2,1376,11560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6443,11584,11699,2,1376,1283,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6441,11585,11700,2,1376,1283,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6442,11585,11700,2,1376,1283,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11721,11585,11700,2,1376,11699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11722,11585,11700,2,1376,11699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6450,11723,11838,2,1376,1306,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6448,11724,11839,2,1376,1306,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6449,11724,11839,2,1376,1306,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11860,11724,11839,2,1376,11838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11861,11724,11839,2,1376,11838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6457,11862,11977,2,1376,1329,1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6455,11863,11978,2,1376,1329,1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6456,11863,11978,2,1376,1329,1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11999,11863,11978,2,1376,11977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,11863,11978,2,1376,11977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6462,12001,12116,2,1376,1352,1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6464,12002,12117,2,1376,1352,1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6463,12002,12117,2,1376,1352,1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12138,12002,12117,2,1376,12116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12139,12002,12117,2,1376,12116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6471,12140,12255,2,1376,1375,1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6469,12141,12256,2,1376,1375,1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6470,12141,12256,2,1376,1375,1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12277,12141,12256,2,1376,12255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12278,12141,12256,2,1376,12255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6527,12279,12385,2,1376,921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6526,12279,12385,2,1376,921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12401,12280,12386,2,1376,12385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12402,12280,12386,2,1376,12385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6559,12403,12517,2,1376,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6558,12403,12517,2,1376,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12537,12404,12518,2,1376,12517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12538,12404,12518,2,1376,12517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12539,12404,12518,2,1376,12517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12540,12404,12518,2,1376,12517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12541,12404,12518,2,1376,12517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
