link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29]
19076,18693,19053,2,44032,19049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19077,18693,19053,2,44032,19049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19078,18693,19053,2,44032,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19079,18693,19053,2,44032,19050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19082,18694,19054,2,44032,19051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19083,18694,19054,2,44032,19053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19088,18695,19055,2,44032,19049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19089,18695,19055,2,44032,19053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5855,19090,19416,1,5504,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5856,19090,19416,1,5504,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19430,19091,19417,1,5504,19416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19434,19092,19418,1,5504,19416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19435,19092,19418,1,5504,19416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19436,19092,19418,1,5504,19417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19440,19093,19419,1,5504,19416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19451,19095,19421,1,5504,19522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19452,19095,19421,1,5504,19521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19457,19096,19422,1,5504,19522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19458,19096,19422,1,5504,19419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19447,19459,19520,1,5504,19419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19448,19459,19520,1,5504,19418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19528,19460,19521,1,5504,19520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19446,19461,19522,1,5504,19419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19531,19461,19522,1,5504,19520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
