link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29],dst[30],dst[31],dst[32],dst[33],dst[34]
6583,12683,12955,2,2048,1297,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12966,12684,12956,2,2048,12955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12971,12685,12957,2,2048,12955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12972,12685,12957,2,2048,12956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12976,12686,12958,2,2048,12957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6581,12687,12959,2,2048,1297,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12981,12687,12959,2,2048,12957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6582,12688,12960,2,2048,1297,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12983,12688,12960,2,2048,12959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6590,12984,13210,2,2048,1347,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13220,12985,13211,2,2048,13210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13224,12986,13212,2,2048,13211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13228,12987,13213,2,2048,13211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6588,12988,13214,2,2048,1347,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6589,12988,13214,2,2048,1347,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13232,12988,13214,2,2048,13210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6594,13233,13353,2,131072,15770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6593,13233,13353,2,131072,15769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6595,13234,13354,2,131072,15770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13358,13234,13354,2,131072,13353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6597,13359,13478,2,131072,15769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6598,13359,13478,2,131072,15770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
