link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29],dst[30],dst[31],dst[32],dst[33],dst[34]
6597,12461,12580,2,131072,6404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6598,12461,12580,2,131072,6404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6599,12462,12581,2,131072,6404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12584,12462,12581,2,131072,12580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6602,12585,12705,2,131072,6405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6603,12585,12705,2,131072,6405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6604,12586,12706,2,131072,6405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12710,12586,12706,2,131072,12705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6607,12711,12830,2,131072,6405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6608,12711,12830,2,131072,6405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6606,12712,12831,2,131072,6405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12834,12712,12831,2,131072,12830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6613,12835,12955,2,131072,6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6612,12835,12955,2,131072,6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6611,12836,12956,2,131072,6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12960,12836,12956,2,131072,12955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6615,12961,13080,2,131072,6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6616,12961,13080,2,131072,6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6617,12962,13081,2,131072,6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13084,12962,13081,2,131072,13080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6621,13085,13205,2,131072,6407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6620,13085,13205,2,131072,6407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6622,13086,13206,2,131072,6407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13210,13086,13206,2,131072,13205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6624,13211,13330,2,131072,6407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6625,13211,13330,2,131072,6407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6626,13212,13331,2,131072,6407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13334,13212,13331,2,131072,13330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
