link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13]
3622,1323,3,1,1,3584,3602,,,,,,,,,,,,
3623,1323,3,1,1,3590,3608,,,,,,,,,,,,
3624,1323,3,1,1,3587,3605,,,,,,,,,,,,
3625,1323,3,1,1,3613,3617,,,,,,,,,,,,
3626,1323,3,1,1,3578,3596,,,,,,,,,,,,
3627,1323,3,1,1,3581,3599,,,,,,,,,,,,
3628,1323,3,1,1,3576,3579,3582,3585,3588,3591,3594,3597,3600,3603,3606,3609,3614,3618
3629,1323,3,1,1,3575,3593,,,,,,,,,,,,
3633,1330,1329,2,32768,7867,,,,,,,,,,,,,
3637,1343,1342,2,32768,8753,,,,,,,,,,,,,
3641,1356,1355,2,32768,7868,7869,7897,,,,,,,,,,,
3645,1369,1368,2,32768,8753,8766,8777,,,,,,,,,,,
3649,1382,1381,2,32768,7877,7897,,,,,,,,,,,,
3653,1395,1394,2,32768,8753,8777,,,,,,,,,,,,
3657,1408,1407,2,32768,7881,7897,,,,,,,,,,,,
