link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27]
12840,12687,12825,2,10240,12824,,,,,,,,,,,,,,,,,,,,,,,,,,,
12841,12687,12825,2,10240,12823,,,,,,,,,,,,,,,,,,,,,,,,,,,
12842,12687,12825,2,10240,12824,,,,,,,,,,,,,,,,,,,,,,,,,,,
8422,12843,12985,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
12996,12844,12986,1,5,12985,,,,,,,,,,,,,,,,,,,,,,,,,,,
13003,12845,12987,1,5,12986,,,,,,,,,,,,,,,,,,,,,,,,,,,
13004,12845,12987,1,5,12986,,,,,,,,,,,,,,,,,,,,,,,,,,,
13005,12845,12987,1,5,12986,,,,,,,,,,,,,,,,,,,,,,,,,,,
13006,12845,12987,1,5,12986,,,,,,,,,,,,,,,,,,,,,,,,,,,
13010,12846,12988,1,5,12987,,,,,,,,,,,,,,,,,,,,,,,,,,,
13011,12846,12988,1,5,12986,,,,,,,,,,,,,,,,,,,,,,,,,,,
13012,12846,12988,1,5,12987,,,,,,,,,,,,,,,,,,,,,,,,,,,
