link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29]
11950,11573,11929,2,44032,11928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11957,11574,11930,2,44032,11928,11929,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11958,11574,11930,2,44032,11929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11959,11574,11930,2,44032,11928,11929,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11963,11575,11931,2,44032,11930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11964,11575,11931,2,44032,11930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11970,11576,11932,2,44032,11928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11971,11576,11932,2,44032,11928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11973,11577,11933,2,44032,11932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11974,11577,11933,2,44032,11932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11975,11577,11933,2,44032,11928,11930,11931,11932,,,,,,,,,,,,,,,,,,,,,,,,,,
5663,11578,11934,2,44032,1205,1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5662,11578,11934,2,44032,1205,1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11977,11578,11934,2,44032,11933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5667,11978,12111,2,5504,5504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12133,11979,12112,2,44032,12111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12134,11979,12112,2,44032,12111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12135,11979,12112,2,44032,12111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12136,11979,12112,2,44032,12111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5670,12137,12266,2,5504,5505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12286,12138,12267,2,44032,12266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12287,12138,12267,2,44032,12266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5673,12288,12421,2,5504,5506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12443,12289,12422,2,44032,12421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12444,12289,12422,2,44032,12421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
